ts_micro,frame,wheel,throttle
1762414480476,1,0.0,0.0078125
1762414480510,2,0.0,0.0078125
1762414480543,3,0.0,0.0078125
1762414480576,4,0.0,0.0078125
1762414480611,5,0.0,0.0078125
1762414480643,6,0.0,0.0078125
1762414480676,7,0.0,0.0078125
1762414480709,8,0.0,0.0078125
1762414480743,9,0.0,0.0078125
1762414480776,10,0.0,0.0078125
1762414480810,11,0.0,0.0078125
1762414480843,12,0.0,0.0078125
1762414480876,13,0.0,0.0078125
1762414480910,14,0.0,0.0078125
1762414480943,15,0.0,0.0078125
1762414480977,16,0.0,0.0078125
1762414481011,17,0.0,0.0078125
1762414481044,18,0.0,0.0703125
1762414481077,19,0.0,0.25
1762414481110,20,0.0,0.3984375
1762414481144,21,0.0,0.5703125
1762414481177,22,0.0,0.8125
1762414481210,23,0.0,0.8984375
1762414481244,24,0.0,0.921875
1762414481277,25,0.0,0.921875
1762414481310,26,0.0,0.921875
1762414481343,27,0.0,0.921875
1762414481376,28,0.0,0.9296875
1762414481410,29,0.0,0.9453125
1762414481443,30,0.0,0.96875
1762414481477,31,0.0,0.96875
1762414481510,32,0.0,0.96875
1762414481543,33,0.0,0.96875
1762414481576,34,0.0,0.96875
1762414481610,35,0.0,0.96875
1762414481643,36,0.0,0.96875
1762414481676,37,0.0,0.96875
1762414481710,38,0.0,0.96875
1762414481743,39,0.0,0.96875
1762414481777,40,0.0,0.96875
1762414481810,41,0.0,0.9921875
1762414481843,42,0.0,0.9921875
1762414481876,43,0.0,0.9921875
1762414481910,44,0.0,0.9921875
1762414481943,45,0.0,0.9921875
1762414481976,46,0.0,0.9921875
1762414482010,47,0.0,0.9921875
1762414482043,48,0.0,0.9921875
1762414482077,49,0.0,0.9921875
1762414482110,50,0.0,0.9921875
1762414482143,51,0.0,0.9921875
1762414482176,52,0.0,0.9921875
1762414482210,53,-0.5235987755982988,0.9921875
1762414482243,54,-0.5235987755982988,0.9921875
1762414482276,55,-0.5235987755982988,0.9921875
1762414482310,56,-0.5235987755982988,0.9921875
1762414482343,57,-0.5235987755982988,0.9921875
1762414482377,58,0.0,0.9921875
1762414482410,59,0.0,0.9921875
1762414482443,60,0.0,0.9921875
1762414482476,61,0.0,0.9921875
1762414482510,62,0.0,0.9921875
1762414482543,63,0.0,0.9921875
1762414482576,64,0.0,0.9921875
1762414482610,65,0.0,0.96875
1762414482643,66,0.0,0.96875
1762414482676,67,0.0,0.96875
1762414482709,68,0.0,0.96875
1762414482743,69,0.0,0.96875
1762414482776,70,0.0,0.96875
1762414482809,71,0.0,0.96875
1762414482843,72,0.0,0.96875
1762414482876,73,0.0,0.96875
1762414482910,74,0.0,0.96875
1762414482943,75,0.0,0.96875
1762414482976,76,0.0,0.96875
1762414483009,77,0.0,0.96875
1762414483043,78,0.0,0.96875
1762414483076,79,0.0,0.96875
1762414483109,80,0.0,0.96875
1762414483143,81,0.0,0.96875
1762414483176,82,0.0,0.96875
1762414483209,83,0.0,0.96875
1762414483243,84,0.0,0.96875
1762414483276,85,0.0,0.96875
1762414483310,86,0.0,0.96875
1762414483343,87,0.0,0.96875
1762414483376,88,0.0,0.96875
1762414483410,89,0.0,0.96875
1762414483443,90,0.0,0.96875
1762414483476,91,-0.5235987755982988,0.96875
1762414483510,92,-0.5235987755982988,0.96875
1762414483543,93,-0.5235987755982988,0.96875
1762414483576,94,-0.5235987755982988,0.96875
1762414483610,95,0.0,0.9453125
1762414483643,96,0.0,0.8359375
1762414483676,97,0.0,0.71875
1762414483711,98,0.0,0.625
1762414483744,99,0.0,0.609375
1762414483777,100,0.0,0.609375
1762414483810,101,0.0,0.6015625
1762414483843,102,0.0,0.5859375
1762414483879,103,0.0,0.5390625
